Date,Realized Variance (5-min)
2010-01-04,10.116759671239558
2010-01-05,9.973864114739259
2010-01-06,9.444521998189662
2010-01-07,10.409856210150242
2010-01-08,11.200218329939915
2010-01-11,10.373984319765084
2010-01-12,13.553896144560584
2010-01-13,12.03276799665739
2010-01-14,10.9533702118183
2010-01-15,11.278646666554923
2010-01-18,5.809979214386991
2010-01-19,12.413099662314849
2010-01-20,14.479876785437423
2010-01-21,23.192618952579412
2010-01-22,20.73078228228681
2010-01-25,20.32700846602925
2010-01-26,19.40428634392427
2010-01-27,19.725465079169904
2010-01-28,24.87793325722574
2010-01-29,23.769545958135343
2010-02-01,15.275117833563595
2010-02-02,15.547504322279115
2010-02-03,16.094693876627776
2010-02-04,20.744830122864826
2010-02-05,29.712253666497794
2010-02-08,19.433207166742775
2010-02-09,23.76204141494403
2010-02-10,21.211930106433392
2010-02-11,21.06441287634854
2010-02-12,20.801564312951864
2010-02-15,7.807475271844187
2010-02-16,13.426732846804112
2010-02-17,13.36187756933629
2010-02-18,20.391771105617146
2010-02-19,12.605414072901144
2010-02-22,12.74311832566447
2010-02-23,16.652355608768417
2010-02-24,15.06391174404216
2010-02-25,17.11029423351313
2010-02-26,14.186749734397546
2010-03-01,11.475371193721198
2010-03-02,11.44420414497875
2010-03-03,10.264563342546811
2010-03-04,10.765046442419742
2010-03-05,9.951434880009218
2010-03-08,9.289772022040323
2010-03-09,10.216914423793133
2010-03-10,14.874025328078677
2010-03-11,10.97500446800241
2010-03-12,11.271915473197032
2010-03-15,10.117867002497272
2010-03-16,10.919982482568289
2010-03-17,9.83190058032067
2010-03-18,9.522434356963947
2010-03-19,10.755086502306431
2010-03-22,11.322309534915027
2010-03-23,9.79003762247371
2010-03-24,12.37336662971314
2010-03-25,13.036959121531332
2010-03-26,13.003319775149352
2010-03-29,8.11493271767036
2010-03-30,10.098225344877806
2010-03-31,12.378806266991171
2010-04-01,10.170510540232483
2010-04-02,6.196205652578246
2010-04-05,9.745246626363578
2010-04-06,8.878454343440776
2010-04-07,10.707516147858016
2010-04-08,10.072225504682637
2010-04-09,8.854369584062054
2010-04-12,9.493376419203587
2010-04-13,9.721024897147332
2010-04-14,8.094909568890289
2010-04-15,8.68666822754703
2010-04-16,20.37189603442513
2010-04-19,14.384287330654901
2010-04-20,10.253096178005034
2010-04-21,11.650996591617439
2010-04-22,14.667392399520068
2010-04-23,13.18338950220003
2010-04-26,11.43536084765878
2010-04-27,19.82300736278713
2010-04-28,19.686413334104262
2010-04-29,12.532715109340517
2010-04-30,16.518783652818435
2010-05-03,12.515032482924726
2010-05-04,20.92269485355445
2010-05-05,23.95695807204271
2010-05-06,71.66816521160371
2010-05-07,51.646998607149605
2010-05-10,30.239771990225663
2010-05-11,24.735354992825282
2010-05-12,20.286793520012665
2010-05-13,18.635564796384337
2010-05-14,25.513689111187244
2010-05-17,28.880604291228856
2010-05-18,28.406554171776214
2010-05-19,35.7335510325034
2010-05-20,41.94322491736843
2010-05-21,39.91065413959698
2010-05-24,27.17910947509756
2010-05-25,36.16537498614852
2010-05-26,31.675531014077666
2010-05-27,26.117416692571275
2010-05-28,26.570184943063875
2010-05-31,13.424475624849478
2010-06-01,25.897921505565602
2010-06-02,22.222234161816964
2010-06-03,20.30873818939104
2010-06-04,29.049270628937673
2010-06-07,25.389791463349944
2010-06-08,30.927166938187362
2010-06-09,25.26919733441445
2010-06-10,24.71787581568404
2010-06-11,20.392408210805478
2010-06-14,18.610217316991704
2010-06-15,16.193411886847468
2010-06-16,16.514749262078606
2010-06-17,18.882603628450752
2010-06-18,13.544021414500055
2010-06-21,18.544507240973818
2010-06-22,19.58724426023227
2010-06-23,20.391222142649095
2010-06-24,21.932827462481534
2010-06-25,22.313147535528994
2010-06-28,18.163574293506855
2010-06-29,26.181792572061763
2010-06-30,24.051190047173847
2010-07-01,30.659154047947258
2010-07-02,26.50615480990749
2010-07-05,12.791275917906347
2010-07-06,24.02721792564622
2010-07-07,20.780962874775096
2010-07-08,19.079327004480593
2010-07-09,14.665879494097664
2010-07-12,16.10342733077372
2010-07-13,18.646838278838494
2010-07-14,18.407405827919405
2010-07-15,21.406714694906405
2010-07-16,18.52690579104472
2010-07-19,19.01771539438023
2010-07-20,23.97509165698421
2010-07-21,20.9020498179791
2010-07-22,19.92605375780199
2010-07-23,20.160710043975733
2010-07-26,15.000891537221541
2010-07-27,15.815138703732167
2010-07-28,15.58900775281975
2010-07-29,17.78630560165453
2010-07-30,20.457556833682318
2010-08-02,13.021846744393272
2010-08-03,12.923727334593641
2010-08-04,13.879543232810635
2010-08-05,12.163006268947383
2010-08-06,18.730933762418626
2010-08-09,10.78826425070189
2010-08-10,16.9825595597363
2010-08-11,20.669651273970857
2010-08-12,20.89707357009959
2010-08-13,16.965856718665066
2010-08-16,18.418525118262146
2010-08-17,14.13041469092773
2010-08-18,17.863619793052973
2010-08-19,24.600197836210903
2010-08-20,17.931151879407352
2010-08-23,15.763594873247143
2010-08-24,18.88480167891915
2010-08-25,21.301820074371385
2010-08-26,20.86522045375821
2010-08-27,20.96930433604086
2010-08-30,15.541534128926246
2010-08-31,23.991452004006874
2010-09-01,19.695116315528896
2010-09-02,13.47797264573313
2010-09-03,16.379011017759503
2010-09-06,7.386664480952293
2010-09-07,15.023448025209628
2010-09-08,17.596081952523477
2010-09-09,19.037902661319038
2010-09-10,10.38557768221498
2010-09-13,11.585685021425835
2010-09-14,15.248390920148141
2010-09-15,12.958014838925147
2010-09-16,12.385333537334512
2010-09-17,13.788142805588535
2010-09-20,12.120277222129067
2010-09-21,15.747841144610408
2010-09-22,15.920878729323796
2010-09-23,14.914493249148034
2010-09-24,13.750633831464892
2010-09-27,11.635001870741737
2010-09-28,16.53599737948363
2010-09-29,16.292729633809138
2010-09-30,20.348307099761453
2010-10-01,15.228012166767602
2010-10-04,15.612513345468166
2010-10-05,13.28345608388247
2010-10-06,12.269179227129714
2010-10-07,15.070336057726886
2010-10-08,18.21419921328016
2010-10-11,10.064800060574127
2010-10-12,15.40048907815458
2010-10-13,12.6919982325849
2010-10-14,14.992237044336152
2010-10-15,16.50957823374723
2010-10-18,14.725593424349997
2010-10-19,20.22942109195259
2010-10-20,16.916788343369742
2010-10-21,16.803185931471727
2010-10-22,10.505483602643642
2010-10-25,12.432579075084575
2010-10-26,13.17060460726687
2010-10-27,13.512990845267211
2010-10-28,13.334589814166259
2010-10-29,11.332887404928918
2010-11-01,13.45627194710162
2010-11-02,10.726694001663722
2010-11-03,16.746922669000842
2010-11-04,11.14512148135206
2010-11-05,12.52273211354051
2010-11-08,11.213833691257548
2010-11-09,13.033674806549767
2010-11-10,14.708156269047754
2010-11-11,16.057609238813242
2010-11-12,17.830697826701584
2010-11-15,13.512869129593616
2010-11-16,18.669235794327246
2010-11-17,14.15900877673599
2010-11-18,11.929943640422264
2010-11-19,11.63857914269179
2010-11-22,14.976977030651026
2010-11-23,17.708818495720145
2010-11-24,14.537072021984393
2010-11-25,7.865441739879719
2010-11-26,13.811136294247541
2010-11-29,18.65126816123554
2010-11-30,18.726272555494425
2010-12-01,13.615921184218177
2010-12-02,12.106196041385934
2010-12-03,14.953370356142157
2010-12-06,11.475611577330048
2010-12-07,14.460093749913911
2010-12-08,12.756574022858166
2010-12-09,13.1520816781005
2010-12-10,8.614449743900696
2010-12-13,9.735787229250285
2010-12-14,10.01903426938331
2010-12-15,10.827920006329334
2010-12-16,10.022180232823185
2010-12-17,8.424971705437075
2010-12-20,8.580522886278736
2010-12-21,6.0863663385932565
2010-12-22,5.369226455239732
2010-12-23,5.725309496492482
2010-12-27,8.688122060200893
2010-12-28,5.895414486089329
2010-12-29,5.19538305346865
2010-12-30,6.17922638748824
2010-12-31,7.534060157458917
2011-01-03,8.328731127565995
2011-01-04,9.353919014575736
2011-01-05,10.50498299385375
2011-01-06,9.795829993038103
2011-01-07,13.426587185149
2011-01-10,11.542642855692794
2011-01-11,9.403551828530409
2011-01-12,8.290665193321672
2011-01-13,9.249955394758171
2011-01-14,9.468226793406155
2011-01-17,6.2203200691929625
2011-01-18,9.67976653409876
2011-01-19,11.212949137961512
2011-01-20,15.082373326127726
2011-01-21,10.57921275961126
2011-01-24,10.124539472447967
2011-01-25,12.986829555055396
2011-01-26,10.991971287083276
2011-01-27,12.179066173346959
2011-01-28,14.384867090664615
