Date,Realized Variance (5-min)
2011-04-26,19.89574218591747
2011-04-27,23.394769337643993
2011-04-28,22.58481149741424
2011-04-29,15.192624939450313
2011-05-02,32.0451048385509
2011-05-03,27.564541193817504
2011-05-04,26.189639719796325
2011-05-05,56.055404982500804
2011-05-06,75.39729383165471
2011-05-09,47.35061972778197
2011-05-10,41.527064773381426
2011-05-11,52.76057987038285
2011-05-12,60.637393380650074
2011-05-13,43.64377466035122
2011-05-16,31.67083980871077
2011-05-17,32.97766546208713
2011-05-18,31.021526709649784
2011-05-19,27.679467320689284
2011-05-20,34.92217004719683
2011-05-23,35.88322157127419
2011-05-24,30.28143360533999
2011-05-25,30.03104241944099
2011-05-26,26.925895022842074
2011-05-27,18.803690717045278
2011-05-30,13.086516715276408
2011-05-31,24.317473798239092
2011-06-01,27.782718766614877
2011-06-02,29.041757877259123
2011-06-03,27.66953240892882
2011-06-06,26.58075455933905
2011-06-07,28.218182079214632
2011-06-08,31.00470577778435
2011-06-09,22.21350512766806
2011-06-10,21.085329333967127
2011-06-13,28.772106842064172
2011-06-14,26.28638780120968
2011-06-15,39.39387079185658
2011-06-16,31.90091000904444
2011-06-17,40.236341442525806
2011-06-20,30.162130334005134
2011-06-21,29.58245903751046
2011-06-22,27.84948584296566
2011-06-23,47.43376645808571
2011-06-24,32.90971040582448
2011-06-27,33.641742148476325
2011-06-28,28.828284073700033
2011-06-29,30.509205637786597
2011-06-30,27.499159531219703
2011-07-01,29.159761589995174
2011-07-04,12.758552786471707
2011-07-05,22.550513895632907
2011-07-06,24.649860432081773
2011-07-07,27.69012380216346
2011-07-08,32.145443855387015
2011-07-11,30.951394319064097
2011-07-12,29.99526370077667
2011-07-13,28.461536147506283
2011-07-14,29.946228814787435
2011-07-15,23.04162046895519
2011-07-18,25.022974148959378
2011-07-19,26.243111158956417
2011-07-20,23.58228711741909
2011-07-21,28.30073348802367
2011-07-22,18.39563321869318
2011-07-25,20.9078288285007
2011-07-26,25.774430983724116
2011-07-27,25.694951340395207
2011-07-28,22.781101726039562
2011-07-29,25.11344552803159
2011-08-01,39.04506016529443
2011-08-02,28.483979256053605
2011-08-03,31.834650861306947
2011-08-04,44.69727457560396
2011-08-05,65.5297296471519
2011-08-08,69.95232827472157
2011-08-09,95.59619894545631
2011-08-10,64.10293303095155
2011-08-11,52.69476218761184
2011-08-12,42.69300828542561
2011-08-15,32.76066603409093
2011-08-16,36.32724372208866
2011-08-17,28.434930958409986
2011-08-18,49.27724268685271
2011-08-19,62.496781365548706
2011-08-22,42.02879332904047
2011-08-23,45.601828154768896
2011-08-24,37.038740287221266
2011-08-25,44.20875685322416
2011-08-26,36.579626615746406
2011-08-29,24.328231785926917
2011-08-30,33.934942430733116
2011-08-31,29.40412533958319
2011-09-01,29.588183905468817
2011-09-02,42.21142805709437
2011-09-05,22.178453103746634
2011-09-06,39.27700040986164
2011-09-07,31.31042507604308
2011-09-08,34.474004419919666
2011-09-09,38.52548648202246
2011-09-12,37.863750259137795
2011-09-13,33.0263424616521
2011-09-14,28.8458386279955
2011-09-15,29.567783864890824
2011-09-16,27.763914555518866
2011-09-19,31.40482929918179
2011-09-20,29.393773564445436
2011-09-21,38.04543936511507
2011-09-22,53.511651356413395
2011-09-23,59.174071831214135
2011-09-26,58.081832732788655
2011-09-27,36.29627801891328
2011-09-28,43.922930772188884
2011-09-29,45.26443006221782
2011-09-30,46.066665376011855
2011-10-03,54.06786858564844
2011-10-04,49.85417422598133
2011-10-05,41.71298712516026
2011-10-06,44.7635418370052
2011-10-07,44.65755586807486
2011-10-10,26.99872379443773
2011-10-11,36.05370903979349
2011-10-12,30.328528520882447
2011-10-13,38.888149418392764
2011-10-14,26.456028729032433
2011-10-17,31.34038380112881
2011-10-18,36.508769881393086
2011-10-19,34.08870140937497
2011-10-20,41.649564185199125
2011-10-21,27.45776306598302
2011-10-24,35.86266595849866
2011-10-25,44.189507504866185
2011-10-26,43.20366409216336
2011-10-27,30.57242793452188
2011-10-28,30.32681340679956
2011-10-31,31.275445156141735
2011-11-01,43.827568215568604
2011-11-02,35.36387074754833
2011-11-03,36.09811647400001
2011-11-04,28.811364966254267
2011-11-07,29.788228833089136
2011-11-08,25.762875102171574
2011-11-09,39.271033727778324
2011-11-10,34.12400375291806
2011-11-11,23.939848804365106
2011-11-14,27.464341103108858
2011-11-15,24.2438078634743
2011-11-16,32.87240784739626
2011-11-17,37.984965018150966
2011-11-18,32.53773873471203
2011-11-21,34.74358979078387
2011-11-22,33.45802133386653
2011-11-23,33.11989368151328
2011-11-24,17.532754827717792
2011-11-25,23.67587636490599
2011-11-28,28.03589778703795
2011-11-29,29.294426620012587
2011-11-30,38.15332489068956
2011-12-01,28.56310891780524
2011-12-02,24.3433288236469
2011-12-05,20.575631548799695
2011-12-06,19.815198469660455
2011-12-07,25.798001723615332
2011-12-08,30.19444680728931
2011-12-09,26.176765311753247
2011-12-12,23.449224258061175
2011-12-13,35.25483867336063
2011-12-14,32.55908786757648
2011-12-15,29.371630500609392
2011-12-16,28.442332773341207
2011-12-19,26.338093816932997
2011-12-20,24.77433470026236
2011-12-21,30.210251781593573
2011-12-22,21.0650713624577
2011-12-23,14.985034984414716
2011-12-26,4.372173833319328
2011-12-27,18.2220310386977
2011-12-28,23.2243160895138
2011-12-29,23.155610167810803
2011-12-30,22.82992337157315
2012-01-02,11.852761979090173
2012-01-03,20.03260312958234
2012-01-04,24.916058467772658
2012-01-05,26.89443022604489
2012-01-06,22.277982220046127
2012-01-09,22.482640936911597
2012-01-10,21.141035439716635
2012-01-11,22.680129484930994
2012-01-12,31.038908945894654
2012-01-13,26.113882129972353
2012-01-16,14.478323813483254
2012-01-17,19.217999512103383
2012-01-18,27.616334560407395
2012-01-19,20.884196288022146
2012-01-20,23.422374665397633
2012-01-23,22.094472172228446
2012-01-24,21.78943258158129
2012-01-25,24.733666305016012
2012-01-26,24.986604007251756
2012-01-27,21.56000669546925
2012-01-30,19.20590398160051
2012-01-31,26.541544564101844
2012-02-01,21.832438164527638
2012-02-02,25.132864559746153
2012-02-03,24.812878915193238
2012-02-06,22.747245953941206
2012-02-07,26.797479569561723
2012-02-08,21.785430631766943
2012-02-09,19.072615745264628
2012-02-10,20.55625332702776
2012-02-13,20.230388258898856
2012-02-14,20.9969067963623
2012-02-15,20.868247909723017
2012-02-16,17.56416721433444
2012-02-17,16.648666530410104
2012-02-20,13.411989477809701
2012-02-21,17.64949677791815
2012-02-22,17.673499145166705
2012-02-23,19.289026994081553
2012-02-24,17.73122576578099
2012-02-27,20.359282611308306
2012-02-28,22.27122520656506
2012-02-29,28.855955130724297
2012-03-01,29.257321051035532
2012-03-02,24.111810670482242
2012-03-05,22.355950186832985
2012-03-06,22.244092612305092
2012-03-07,23.19976779153056
2012-03-08,19.062993245926346
2012-03-09,18.91631597564242
2012-03-12,14.824231275216308
2012-03-13,17.636463279453356
2012-03-14,19.839854199657474
2012-03-15,37.33571980689134
2012-03-16,18.194284067183474
2012-03-19,16.393090426492748
2012-03-20,20.74177218554262
2012-03-21,18.411006215408314
2012-03-22,19.894808608685423
2012-03-23,22.104912115153855
2012-03-26,15.214542931022827
2012-03-27,15.699464182096834
2012-03-28,17.149245819867566
2012-03-29,20.399046255272793
2012-03-30,18.979262659006498
2012-04-02,18.778262921014473
2012-04-03,19.845842707895557
2012-04-04,22.290460715044677
2012-04-05,18.150524968264676
2012-04-09,17.240386521861602
2012-04-10,22.869638585297118
2012-04-11,19.158331418137404
2012-04-12,18.84767632700234
2012-04-13,13.574303572888102
2012-04-16,20.08323938612723
2012-04-17,17.181762976895133
2012-04-18,17.654582495833164
2012-04-19,19.557143175754696
2012-04-20,15.480049464213105
2012-04-23,15.615994547719561
2012-04-24,14.785040182869452
2012-04-25,17.582524388990528
2012-04-26,14.078022633688208
2012-04-27,13.222092835373319
2012-04-30,12.6920407727117
2012-05-01,15.42334672324794
2012-05-02,13.574662928416403
2012-05-03,18.423630977585116
2012-05-04,28.369441228358237
2012-05-07,25.52082198662098
2012-05-08,25.965774272483678
2012-05-09,25.790400979156857
2012-05-10,21.099207620046602
2012-05-11,17.96860235574852
2012-05-14,25.82608634861398
2012-05-15,23.833381583645966
2012-05-16,30.18826784193006
2012-05-17,24.924178621380076
2012-05-18,25.119034200355276
2012-05-21,18.719319556087857
2012-05-22,20.526964596618104
2012-05-23,24.682188081807972
2012-05-24,24.271204569041164
2012-05-25,16.333766965983735
2012-05-28,12.79181936215432
2012-05-29,21.423710525424216
2012-05-30,23.344053790256392
2012-05-31,28.877761531352782
2012-06-01,39.12419452439452
2012-06-04,36.273874176944545
2012-06-05,28.233446986862386
2012-06-06,25.55588429846664
2012-06-07,34.32345350913379
2012-06-08,29.33372980870456
2012-06-11,29.887992537726056
2012-06-12,30.724615214744837
2012-06-13,29.413382314516213
2012-06-14,27.672892775388284
2012-06-15,19.00842434439944
2012-06-18,26.86547078222896
2012-06-19,23.047655148914803
2012-06-20,35.56233225526239
2012-06-21,34.32151834588044
2012-06-22,29.28743501919046
2012-06-25,28.144257285643263
2012-06-26,25.774517884195298
2012-06-27,25.06624972415576
2012-06-28,34.452591486919246
2012-06-29,36.765742141432554
2012-07-02,31.781216844752514
2012-07-03,37.49606778808466
2012-07-04,15.736172504252124
2012-07-05,35.94703744672431
2012-07-06,31.470063949147413
2012-07-09,25.592789861038785
2012-07-10,28.25449704116944
2012-07-11,32.61780924458574
