spec,window_years,delta,pvalue,in_mcs
Run 20  log+crude+GVZ+macro,5.75,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,5.75,0.996,0.9844,True
Run 20  log+crude+GVZ+macro,6.0,0.994,0.9844,True
Run 20  log+crude+GVZ+macro,6.0,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,6.0,0.996,0.9844,True
Run 20  log+crude+GVZ+macro,6.25,0.994,0.9844,True
Run 20  log+crude+GVZ+macro,6.25,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,6.25,0.996,0.9844,True
Run 20  log+crude+GVZ+macro,6.5,0.994,0.9844,True
Run 20  log+crude+GVZ+macro,6.5,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,6.5,0.996,0.9844,True
Run 20  log+crude+GVZ+macro,6.75,0.994,0.9844,True
Run 20  log+crude+GVZ+macro,6.75,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,6.75,0.996,0.9844,True
Run 20  log+crude+GVZ+macro,7.0,0.994,0.9844,True
Run 20  log+crude+GVZ+macro,7.0,0.995,0.9844,True
Run 20  log+crude+GVZ+macro,7.0,0.996,0.9844,True
Run 18  log+GVZ+macro,1.75,0.993,0.9839,True
Run 18  log+GVZ+macro,2.75,0.995,0.9839,True
Run 18  log+GVZ+macro,3.0,0.991,0.9839,True
Run 18  log+GVZ+macro,3.0,0.995,0.9839,True
Run 18  log+GVZ+macro,3.25,0.991,0.9839,True
Run 18  log+GVZ+macro,3.5,0.991,0.9839,True
Run 18  log+GVZ+macro,3.75,0.991,0.9839,True
Run 18  log+GVZ+macro,4.0,0.991,0.9839,True
Run 18  log+GVZ+macro,4.0,0.996,0.9839,True
Run 18  log+GVZ+macro,4.25,0.991,0.9839,True
Run 18  log+GVZ+macro,4.5,0.991,0.9839,True
Run 18  log+GVZ+macro,4.75,0.991,0.9839,True
Run 18  log+GVZ+macro,5.0,0.991,0.9839,True
Run 18  log+GVZ+macro,5.25,0.991,0.9839,True
Run 18  log+GVZ+macro,5.5,0.991,0.9839,True
Run 18  log+GVZ+macro,5.75,0.991,0.9839,True
Run 18  log+GVZ+macro,6.0,0.991,0.9839,True
Run 18  log+GVZ+macro,6.25,0.991,0.9839,True
Run 18  log+GVZ+macro,6.5,0.991,0.9839,True
Run 18  log+GVZ+macro,6.75,0.991,0.9839,True
Run 18  log+GVZ+macro,7.0,0.991,0.9839,True
Run 20  log+crude+GVZ+macro,3.75,0.994,0.9839,True
Run 20  log+crude+GVZ+macro,3.75,0.995,0.9839,True
Run 20  log+crude+GVZ+macro,4.0,0.994,0.9839,True
Run 20  log+crude+GVZ+macro,4.0,0.995,0.9839,True
Run 20  log+crude+GVZ+macro,4.25,0.994,0.9839,True
Run 20  log+crude+GVZ+macro,4.25,0.996,0.9839,True
Run 20  log+crude+GVZ+macro,4.5,0.994,0.9839,True
Run 20  log+crude+GVZ+macro,4.75,0.996,0.9839,True
Run 20  log+crude+GVZ+macro,5.0,0.996,0.9839,True
Run 20  log+crude+GVZ+macro,6.25,0.997,0.9839,True
Run 20  log+crude+GVZ+macro,6.75,0.997,0.9839,True
Run 20  log+crude+GVZ+macro,7.0,0.997,0.9839,True
Run 18  log+GVZ+macro,1.75,0.994,0.9827,True
Run 18  log+GVZ+macro,2.75,0.991,0.9827,True
Run 20  log+crude+GVZ+macro,6.5,0.997,0.9827,True
Run 20  log+crude+GVZ+macro,6.0,0.997,0.9818,True
Run 18  log+GVZ+macro,3.75,0.996,0.9811,True
Run 18  log+GVZ+macro,1.75,0.992,0.9804,True
Run 18  log+GVZ+macro,1.75,0.995,0.9804,True
Run 18  log+GVZ+macro,2.0,0.991,0.9804,True
Run 18  log+GVZ+macro,2.0,0.995,0.9804,True
Run 18  log+GVZ+macro,2.25,0.991,0.9804,True
Run 18  log+GVZ+macro,2.25,0.995,0.9804,True
Run 18  log+GVZ+macro,2.5,0.991,0.9804,True
Run 18  log+GVZ+macro,3.5,0.996,0.9804,True
Run 18  log+GVZ+macro,5.25,0.997,0.9804,True
Run 18  log+GVZ+macro,6.0,0.997,0.9804,True
Run 18  log+GVZ+macro,6.25,0.997,0.9804,True
Run 18  log+GVZ+macro,6.5,0.997,0.9804,True
Run 18  log+GVZ+macro,6.75,0.997,0.9804,True
Run 18  log+GVZ+macro,7.0,0.997,0.9804,True
Run 20  log+crude+GVZ+macro,3.25,0.994,0.9804,True
Run 20  log+crude+GVZ+macro,3.5,0.994,0.9804,True
Run 20  log+crude+GVZ+macro,3.5,0.995,0.9804,True
Run 20  log+crude+GVZ+macro,4.0,0.996,0.9804,True
Run 20  log+crude+GVZ+macro,4.25,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,4.5,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,4.5,0.996,0.9804,True
Run 20  log+crude+GVZ+macro,4.75,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,5.0,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,5.25,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,5.25,0.997,0.9804,True
Run 20  log+crude+GVZ+macro,5.5,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,5.5,0.997,0.9804,True
Run 20  log+crude+GVZ+macro,5.75,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,5.75,0.997,0.9804,True
Run 20  log+crude+GVZ+macro,6.0,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,6.25,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,6.5,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,6.75,0.993,0.9804,True
Run 20  log+crude+GVZ+macro,7.0,0.993,0.9804,True
Run 18  log+GVZ+macro,1.25,0.991,0.9803,True
Run 18  log+GVZ+macro,1.25,0.992,0.9803,True
Run 18  log+GVZ+macro,1.25,0.993,0.9803,True
Run 18  log+GVZ+macro,1.25,0.994,0.9803,True
Run 18  log+GVZ+macro,1.25,0.995,0.9803,True
Run 18  log+GVZ+macro,1.25,0.996,0.9803,True
Run 18  log+GVZ+macro,1.5,0.99,0.9803,True
Run 18  log+GVZ+macro,1.5,0.991,0.9803,True
Run 18  log+GVZ+macro,1.5,0.992,0.9803,True
Run 18  log+GVZ+macro,1.5,0.993,0.9803,True
Run 18  log+GVZ+macro,1.5,0.994,0.9803,True
Run 18  log+GVZ+macro,1.5,0.995,0.9803,True
Run 18  log+GVZ+macro,1.5,0.996,0.9803,True
Run 18  log+GVZ+macro,1.75,0.989,0.9803,True
Run 18  log+GVZ+macro,1.75,0.99,0.9803,True
Run 18  log+GVZ+macro,1.75,0.991,0.9803,True
Run 18  log+GVZ+macro,1.75,0.996,0.9803,True
Run 18  log+GVZ+macro,1.75,0.997,0.9803,True
Run 18  log+GVZ+macro,2.0,0.989,0.9803,True
Run 18  log+GVZ+macro,2.0,0.99,0.9803,True
Run 18  log+GVZ+macro,2.0,0.996,0.9803,True
Run 18  log+GVZ+macro,2.25,0.989,0.9803,True
Run 18  log+GVZ+macro,2.25,0.99,0.9803,True
Run 18  log+GVZ+macro,2.25,0.996,0.9803,True
Run 18  log+GVZ+macro,2.5,0.989,0.9803,True
Run 18  log+GVZ+macro,2.5,0.99,0.9803,True
Run 18  log+GVZ+macro,2.5,0.995,0.9803,True
Run 18  log+GVZ+macro,2.5,0.996,0.9803,True
Run 18  log+GVZ+macro,2.75,0.989,0.9803,True
Run 18  log+GVZ+macro,2.75,0.99,0.9803,True
Run 18  log+GVZ+macro,2.75,0.996,0.9803,True
Run 18  log+GVZ+macro,3.0,0.989,0.9803,True
Run 18  log+GVZ+macro,3.0,0.99,0.9803,True
Run 18  log+GVZ+macro,3.0,0.996,0.9803,True
Run 18  log+GVZ+macro,3.25,0.989,0.9803,True
Run 18  log+GVZ+macro,3.25,0.99,0.9803,True
Run 18  log+GVZ+macro,3.25,0.996,0.9803,True
Run 18  log+GVZ+macro,3.5,0.989,0.9803,True
Run 18  log+GVZ+macro,3.5,0.99,0.9803,True
Run 18  log+GVZ+macro,3.5,0.997,0.9803,True
Run 18  log+GVZ+macro,3.75,0.989,0.9803,True
Run 18  log+GVZ+macro,3.75,0.99,0.9803,True
Run 18  log+GVZ+macro,3.75,0.997,0.9803,True
Run 18  log+GVZ+macro,4.0,0.989,0.9803,True
Run 18  log+GVZ+macro,4.0,0.99,0.9803,True
Run 18  log+GVZ+macro,4.0,0.997,0.9803,True
Run 18  log+GVZ+macro,4.25,0.989,0.9803,True
Run 18  log+GVZ+macro,4.25,0.99,0.9803,True
Run 18  log+GVZ+macro,4.25,0.997,0.9803,True
Run 18  log+GVZ+macro,4.25,0.998,0.9803,True
Run 18  log+GVZ+macro,4.5,0.989,0.9803,True
Run 18  log+GVZ+macro,4.5,0.99,0.9803,True
Run 18  log+GVZ+macro,4.5,0.997,0.9803,True
Run 18  log+GVZ+macro,4.75,0.989,0.9803,True
Run 18  log+GVZ+macro,4.75,0.99,0.9803,True
Run 18  log+GVZ+macro,4.75,0.997,0.9803,True
Run 18  log+GVZ+macro,4.75,0.998,0.9803,True
Run 18  log+GVZ+macro,5.0,0.989,0.9803,True
Run 18  log+GVZ+macro,5.0,0.99,0.9803,True
Run 18  log+GVZ+macro,5.0,0.997,0.9803,True
Run 18  log+GVZ+macro,5.0,0.998,0.9803,True
Run 18  log+GVZ+macro,5.25,0.989,0.9803,True
Run 18  log+GVZ+macro,5.25,0.99,0.9803,True
Run 18  log+GVZ+macro,5.25,0.998,0.9803,True
Run 18  log+GVZ+macro,5.5,0.989,0.9803,True
Run 18  log+GVZ+macro,5.5,0.99,0.9803,True
Run 18  log+GVZ+macro,5.5,0.997,0.9803,True
Run 18  log+GVZ+macro,5.5,0.998,0.9803,True
Run 18  log+GVZ+macro,5.75,0.989,0.9803,True
Run 18  log+GVZ+macro,5.75,0.99,0.9803,True
Run 18  log+GVZ+macro,5.75,0.997,0.9803,True
Run 18  log+GVZ+macro,5.75,0.998,0.9803,True
Run 18  log+GVZ+macro,6.0,0.989,0.9803,True
Run 18  log+GVZ+macro,6.0,0.99,0.9803,True
Run 18  log+GVZ+macro,6.0,0.998,0.9803,True
Run 18  log+GVZ+macro,6.25,0.989,0.9803,True
Run 18  log+GVZ+macro,6.25,0.99,0.9803,True
Run 18  log+GVZ+macro,6.25,0.998,0.9803,True
Run 18  log+GVZ+macro,6.5,0.989,0.9803,True
Run 18  log+GVZ+macro,6.5,0.99,0.9803,True
Run 18  log+GVZ+macro,6.5,0.998,0.9803,True
Run 18  log+GVZ+macro,6.75,0.989,0.9803,True
Run 18  log+GVZ+macro,6.75,0.99,0.9803,True
Run 18  log+GVZ+macro,6.75,0.998,0.9803,True
Run 18  log+GVZ+macro,7.0,0.989,0.9803,True
Run 18  log+GVZ+macro,7.0,0.99,0.9803,True
Run 18  log+GVZ+macro,7.0,0.998,0.9803,True
Run 18  log+GVZ+macro,7.0,0.999,0.9803,True
Run 19  log+SPX+GVZ+macro,3.75,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,4.0,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,4.0,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,4.25,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,4.25,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,4.25,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,4.5,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,4.5,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,4.75,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,4.75,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,4.75,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,5.0,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,5.0,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,5.0,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,5.25,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,5.25,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,5.25,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,5.25,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,5.5,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,5.5,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,5.5,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,5.5,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,5.75,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,5.75,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,5.75,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,5.75,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,6.0,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,6.0,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,6.0,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,6.0,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,6.25,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,6.25,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,6.25,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,6.25,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,6.5,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,6.5,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,6.5,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,6.5,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,6.75,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,6.75,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,6.75,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,6.75,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,7.0,0.994,0.9803,True
Run 19  log+SPX+GVZ+macro,7.0,0.995,0.9803,True
Run 19  log+SPX+GVZ+macro,7.0,0.996,0.9803,True
Run 19  log+SPX+GVZ+macro,7.0,0.997,0.9803,True
Run 19  log+SPX+GVZ+macro,7.0,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,1.75,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,1.75,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,1.75,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,1.75,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,2.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,2.0,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,2.0,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,2.0,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,2.0,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,2.25,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,2.25,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,2.25,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,2.25,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,2.25,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,2.5,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,2.5,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,2.5,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,2.5,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,2.75,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,2.75,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,2.75,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,2.75,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,2.75,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,3.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,3.0,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,3.0,0.994,0.9803,True
Run 20  log+crude+GVZ+macro,3.0,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,3.0,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,3.25,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,3.25,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,3.25,0.995,0.9803,True
Run 20  log+crude+GVZ+macro,3.25,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,3.5,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,3.5,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,3.5,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,3.75,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,3.75,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,3.75,0.996,0.9803,True
Run 20  log+crude+GVZ+macro,3.75,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,4.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,4.0,0.993,0.9803,True
Run 20  log+crude+GVZ+macro,4.0,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,4.25,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,4.25,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,4.25,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,4.5,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,4.5,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,4.75,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,4.75,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,4.75,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,4.75,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,5.0,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,5.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,5.0,0.997,0.9803,True
Run 20  log+crude+GVZ+macro,5.0,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,5.25,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,5.25,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,5.25,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,5.5,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,5.5,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,5.5,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,5.75,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,5.75,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,5.75,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,6.0,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,6.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,6.0,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,6.0,0.999,0.9803,True
Run 20  log+crude+GVZ+macro,6.25,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,6.25,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,6.25,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,6.25,0.999,0.9803,True
Run 20  log+crude+GVZ+macro,6.5,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,6.5,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,6.5,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,6.5,0.999,0.9803,True
Run 20  log+crude+GVZ+macro,6.75,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,6.75,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,6.75,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,6.75,0.999,0.9803,True
Run 20  log+crude+GVZ+macro,7.0,0.991,0.9803,True
Run 20  log+crude+GVZ+macro,7.0,0.992,0.9803,True
Run 20  log+crude+GVZ+macro,7.0,0.998,0.9803,True
Run 20  log+crude+GVZ+macro,7.0,0.999,0.9803,True
Run 20  log+crude+GVZ+macro,4.5,0.991,0.9802,True
Run 20  log+crude+GVZ+macro,4.25,0.991,0.98,True
Run 19  log+SPX+GVZ+macro,3.75,0.995,0.9799,True
Run 19  log+SPX+GVZ+macro,4.5,0.996,0.9799,True
Run 20  log+crude+GVZ+macro,3.75,0.991,0.9799,True
Run 20  log+crude+GVZ+macro,4.0,0.991,0.9799,True
Run 19  log+SPX+GVZ+macro,6.75,0.998,0.9794,True
Run 20  log+crude+GVZ+macro,3.5,0.991,0.9793,True
Run 18  log+GVZ+macro,1.25,0.99,0.9777,True
Run 18  log+GVZ+macro,2.75,0.997,0.9777,True
Run 18  log+GVZ+macro,3.25,0.997,0.9777,True
Run 18  log+GVZ+macro,6.25,0.999,0.9777,True
Run 18  log+GVZ+macro,6.75,0.999,0.9777,True
Run 19  log+SPX+GVZ+macro,3.5,0.994,0.9777,True
Run 19  log+SPX+GVZ+macro,4.75,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,5.0,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,5.25,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,5.5,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,5.75,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,6.0,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,6.25,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,6.25,0.998,0.9777,True
Run 19  log+SPX+GVZ+macro,6.5,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,6.5,0.998,0.9777,True
Run 19  log+SPX+GVZ+macro,6.75,0.993,0.9777,True
Run 19  log+SPX+GVZ+macro,7.0,0.993,0.9777,True
Run 20  log+crude+GVZ+macro,1.75,0.992,0.9777,True
Run 20  log+crude+GVZ+macro,2.75,0.991,0.9777,True
Run 20  log+crude+GVZ+macro,3.0,0.991,0.9777,True
